iter	Logloss
0	0.6162065778
1	0.5540612357
2	0.501877594
3	0.459412275
4	0.4375811168
5	0.415039444
6	0.3964260919
7	0.3802619117
8	0.3710101536
9	0.3627517428
10	0.3550694602
11	0.3483384541
12	0.3408066886
13	0.3324834006
14	0.3255704607
15	0.3225311279
16	0.3173723493
17	0.3149833134
18	0.3121870313
19	0.3081999915
20	0.3057696751
21	0.3025036948
22	0.2991469519
23	0.2962316786
24	0.2941682543
25	0.2924391065
26	0.2912208285
27	0.2896572113
28	0.286943027
29	0.2855832236
30	0.2831016541
31	0.2812286377
32	0.2795452663
33	0.2782934461
34	0.27657547
35	0.2740010398
36	0.2725295476
37	0.2713564192
38	0.2695198877
39	0.268347386
40	0.2669321333
41	0.2649329322
42	0.2633798327
43	0.2621737889
44	0.2608566829
45	0.2595050812
46	0.2590209416
47	0.2573967252
48	0.2556714194
49	0.2547745296
50	0.2535184588
51	0.2517208372
52	0.250025177
53	0.2487396513
54	0.2474828448
55	0.246248436
56	0.2448201861
57	0.2430922644
58	0.2423907144
59	0.2410858699
60	0.239534814
61	0.2386364528
62	0.2373982566
63	0.2363007954
64	0.2347548076
65	0.2341197968
66	0.2330574581
67	0.2323702948
68	0.2310930525
69	0.230112975
70	0.2287639618
71	0.2278440884
72	0.2267499787
73	0.2256944656
74	0.2237630572
75	0.2223043987
76	0.2211543219
77	0.2201865196
78	0.2187466485
79	0.2179245949
80	0.2161514827
81	0.2147071021
82	0.2133913858
83	0.2129333087
84	0.2116923196
85	0.2113028935
86	0.2104819298
87	0.2102142606
88	0.2092047691
89	0.2083760125
90	0.2072588648
91	0.2061842237
92	0.2049745287
93	0.2039936883
94	0.2028066499
95	0.2018636295
96	0.2008137294
97	0.1996998378
98	0.1989043917
99	0.1976586206
100	0.1966908591
101	0.1959974834
102	0.1954686029
103	0.1944635119
104	0.1937240464
105	0.1926987784
106	0.1920980998
107	0.1913969449
108	0.1902339935
109	0.1893026079
110	0.1885500908
111	0.1875288555
112	0.1872022493
113	0.1863357816
114	0.1855627196
115	0.1847860336
116	0.1832708086
117	0.1828765052
118	0.1820517949
119	0.1809392112
120	0.1800154277
121	0.1792842865
122	0.1784965788
123	0.1771956035
124	0.1764312063
125	0.1757048471
126	0.1747059958
127	0.1738673346
128	0.1732287952
129	0.1731443814
130	0.1725741523
131	0.1714754922
132	0.1706441198
133	0.1696403231
134	0.1685847146
135	0.1678491047
136	0.1670043673
137	0.1662993022
138	0.1656923567
139	0.1650659016
140	0.164185415
141	0.1629702977
142	0.1626194818
143	0.1622319903
144	0.1616024562
145	0.1609659195
146	0.1602434431
147	0.1600106376
148	0.1599304199
149	0.1594864164
150	0.1587854385
151	0.1583132608
152	0.1575829097
153	0.1570762634
154	0.1564269202
155	0.155865424
156	0.1554804802
157	0.1553939274
158	0.1552989006
159	0.1545044082
160	0.154467283
161	0.1538485663
162	0.1530006681
163	0.1523326874
164	0.151830319
165	0.1513325827
166	0.1505489349
167	0.1501281193
168	0.149432591
169	0.1489916256
170	0.148401056
171	0.148181275
172	0.147546196
173	0.1469347681
174	0.1464265823
175	0.1457399368
176	0.1451219831
177	0.1450620651
178	0.1447166579
179	0.1438942228
180	0.1431756837
181	0.1425563267
182	0.1422455924
183	0.1418796948
184	0.1410120147
185	0.1404235704
186	0.1398050853
187	0.1392387663
188	0.1387587956
189	0.1380620548
190	0.1377974374
191	0.1373611995
192	0.1369287491
193	0.1368956157
194	0.1368743896
195	0.1364827701
196	0.1354718617
197	0.1349945341
198	0.1348377228
199	0.1343184744
200	0.1337360927
201	0.1332452229
202	0.1327671187
203	0.1321801594
204	0.13147098
205	0.1307697569
206	0.1305571965
207	0.1299452237
208	0.1295148849
209	0.1290851593
210	0.1285426412
211	0.1279930251
212	0.1274586269
213	0.1271229744
214	0.1262753623
215	0.1259793145
216	0.1254220554
217	0.1251298632
218	0.1246166774
219	0.1240594046
220	0.123523031
221	0.1229496683
222	0.1224728448
223	0.1219963074
224	0.1215231623
225	0.1211207526
226	0.1207036291
227	0.1201082638
228	0.1197214672
229	0.1192413875
230	0.1186910766
231	0.1181919507
232	0.1175300326
233	0.1171126093
234	0.1168258122
235	0.1163788932
236	0.1160142762
237	0.1155750547
238	0.1152104242
239	0.1148611069
240	0.1142162459
241	0.1136847019
242	0.1131647314
243	0.1128735883
244	0.1122436251
245	0.1118636199
246	0.1114175252
247	0.1111019339
248	0.1109742437
249	0.1104335649
250	0.1104111944
251	0.1103440693
252	0.1101063251
253	0.1095507486
254	0.1094089304
255	0.1093344825
256	0.1089645522
257	0.1086137499
258	0.1081146513
259	0.1077509199
260	0.1074110576
261	0.1071949959
262	0.1070598739
263	0.1065069948
264	0.1064011642
265	0.1058991841
266	0.1056713922
267	0.1055078779
268	0.1050627708
269	0.1046530451
270	0.1042681558
271	0.1040313516
272	0.1037509237
273	0.1033845765
274	0.1028903689
275	0.1023138114
276	0.1018787316
277	0.1015412399
278	0.1009930202
279	0.1008081709
280	0.1005588668
281	0.1002827985
282	0.09979336602
283	0.09946603094
284	0.09907072612
285	0.09882944652
286	0.09854274477
287	0.09828053202
288	0.09825735092
289	0.09766025543
290	0.0972696713
291	0.09681489127
292	0.0960632188
293	0.09588957514
294	0.09557149751
295	0.09531196867
296	0.09492558752
297	0.09454336166
298	0.09417727334
299	0.09381053107
300	0.09353635652
301	0.09313194411
302	0.09305348396
303	0.09268698011
304	0.09236996514
305	0.09206078393
306	0.09182784217
307	0.09121353967
308	0.09092881339
309	0.09063761575
310	0.09030575752
311	0.09012120111
312	0.08972640719
313	0.08934770312
314	0.08900114468
315	0.08873574393
316	0.08849218913
317	0.088252885
318	0.08808499745
319	0.08771351406
320	0.08752675056
321	0.08722481046
322	0.08695667812
323	0.08669201987
324	0.08643475941
325	0.0863753455
326	0.08615469251
327	0.08585569518
328	0.0857528414
329	0.08556372098
330	0.08530271394
331	0.08518907002
332	0.08482819966
333	0.08463818686
334	0.08450608253
335	0.08414076396
336	0.08387073789
337	0.08379357883
338	0.08357615471
339	0.08319211006
340	0.08300826209
341	0.08280824934
342	0.08247069631
343	0.08217474392
344	0.08198889324
345	0.08195631163
346	0.08176091058
347	0.08147995813
348	0.08119757516
349	0.08089251518
350	0.08065312249
351	0.08047451292
352	0.08023899623
353	0.08002845219
354	0.07972742489
355	0.07932100296
356	0.07917710713
357	0.07897580011
358	0.07867670059
359	0.07854517528
360	0.07821250643
361	0.07784395218
362	0.07764977046
363	0.07733255114
364	0.07697807721
365	0.0767268249
366	0.07649914878
367	0.07637627465
368	0.07602601733
369	0.07592349734
370	0.07579712187
371	0.07557290622
372	0.07524132047
373	0.0750114509
374	0.07499735696
375	0.07492540223
376	0.07471026012
377	0.07457566942
378	0.07442831312
379	0.07421968324
380	0.07406776292
381	0.07402948652
382	0.07373175621
383	0.07369075503
384	0.07355397088
385	0.07334003448
386	0.0730167457
387	0.07285490036
388	0.07258320536
389	0.07237693923
390	0.07236527034
391	0.0723389898
392	0.07219534601
393	0.07200749261
394	0.07174463953
395	0.07144565582
396	0.07121271406
397	0.07097457477
398	0.07076379231
399	0.07067371096
400	0.07022705078
401	0.07001063483
402	0.0698078973
403	0.06969351768
404	0.06954055514
405	0.06935754504
406	0.06900628635
407	0.06893068041
408	0.06874614443
409	0.06866215297
410	0.06847367287
411	0.06840435437
412	0.06826833997
413	0.0680089065
414	0.06778018815
415	0.06754238265
416	0.06741280556
417	0.06727145059
418	0.06722457068
419	0.06705042294
420	0.0668737139
421	0.066864654
422	0.0668556009
423	0.06674224309
424	0.06660743441
425	0.06639989444
426	0.06625556946
427	0.06600074768
428	0.06589957646
429	0.06567008155
430	0.06551856313
431	0.06531224932
432	0.06501797949
433	0.06491903578
434	0.06479497637
435	0.06456654412
436	0.06443350656
437	0.06425897735
438	0.06402352878
439	0.06396260943
440	0.06391292981
441	0.06379512378
442	0.06356831959
443	0.06338665826
444	0.06312697274
445	0.06284427643
446	0.06274873189
447	0.06260550363
448	0.0624461719
449	0.06220316206
450	0.06186467579
451	0.06168922016
452	0.06157905034
453	0.06139975275
454	0.06131438528
455	0.06117029871
456	0.06106886183
457	0.06087506158
458	0.06074983052
459	0.060597338
460	0.06050955909
461	0.06036693709
462	0.06024906295
463	0.06009727206
464	0.06005754471
465	0.05999912534
466	0.05988084248
467	0.05975017548
468	0.05962416104
469	0.05942787443
470	0.05919342722
471	0.05906141145
472	0.05891056742
473	0.05871772766
474	0.05858467647
475	0.05843015398
476	0.05826975959
